scenario_name,k_level3,k_level4,replications,avg_waiting_time,p95_waiting_time,avg_time_in_system,level3_avg_wait,level4_avg_wait,level3_service_level,level4_service_level,doctor_utilization,nurse_utilization,avg_waiting_time_sd
add_1_day_general_and_1_night_doctor,28.0,120.0,3,27.84,25.1267,461.3267,11.5216,17.1825,0.9929,0.9988,0.9497,0.6982,6.2437
add_1_day_general_and_1_night_doctor,30.0,120.0,3,27.84,25.1267,461.3267,11.5216,17.1825,0.9929,0.9988,0.9497,0.6982,6.2437
add_1_day_general_and_1_night_doctor,26.0,120.0,3,28.21,25.2467,461.7433,11.4702,16.8821,0.9941,0.9988,0.95,0.6985,6.8136
add_1_day_general_and_1_night_doctor,26.0,110.0,3,28.5133,25.5667,463.5067,11.4577,20.104,0.995,0.9976,0.95,0.6985,6.6885
add_1_day_general_and_1_night_doctor,28.0,110.0,3,28.8367,25.9233,462.54,11.5377,20.0392,0.9945,0.9977,0.9494,0.6982,7.2496
add_1_day_general_and_1_night_doctor,30.0,110.0,3,28.8367,25.9233,462.54,11.5377,20.0392,0.9945,0.9977,0.9494,0.6982,7.2496
add_1_day_general_and_1_night_doctor,24.0,110.0,3,28.9,26.37,463.3833,11.8962,19.9512,0.9918,0.9988,0.9503,0.6984,6.6772
add_1_day_general_and_1_night_doctor,20.0,120.0,3,29.1533,27.0833,455.88,14.3616,17.4079,0.992,1.0,0.9505,0.6991,5.5411
add_1_day_general_and_1_night_doctor,26.0,100.0,3,29.35,31.02,458.8367,11.5128,29.0782,0.9938,0.9965,0.9507,0.6989,6.3276
add_1_day_general_and_1_night_doctor,22.0,120.0,3,29.4167,26.0233,459.9367,12.9204,17.1914,0.9902,0.9977,0.9498,0.6985,7.0287
add_1_day_general_and_1_night_doctor,28.0,100.0,3,29.4567,30.8233,460.8533,11.332,28.887,0.9927,0.9988,0.9504,0.6987,6.4978
add_1_day_general_and_1_night_doctor,30.0,100.0,3,29.4567,30.8233,460.8533,11.332,28.887,0.9927,0.9988,0.9504,0.6987,6.4978
add_1_day_general_and_1_night_doctor,24.0,120.0,3,29.53,26.0767,467.5867,11.9306,17.4075,0.9909,0.9988,0.9505,0.6985,7.9361
add_1_day_general_and_1_night_doctor,22.0,110.0,3,29.71,26.9533,461.4467,13.0273,20.2721,0.9906,0.9988,0.9495,0.6984,6.849
add_1_day_general_and_1_night_doctor,24.0,100.0,3,30.4733,31.1933,459.8733,11.67,29.2555,0.9943,0.9965,0.9504,0.6985,7.3497
add_1_day_general_and_1_night_doctor,28.0,90.0,3,30.74,38.99,452.45,11.3382,37.7664,0.9957,0.9953,0.9504,0.699,6.8511
add_1_day_general_and_1_night_doctor,30.0,90.0,3,30.74,38.99,452.45,11.3382,37.7664,0.9957,0.9953,0.9504,0.699,6.8511
add_1_day_general_and_1_night_doctor,22.0,100.0,3,30.7633,31.2067,459.8467,12.6027,29.3118,0.9941,0.9965,0.9502,0.6984,7.1406
add_1_day_general_and_1_night_doctor,20.0,110.0,3,30.7667,27.3167,459.4067,14.4389,20.0912,0.9883,0.9988,0.9507,0.6988,7.0972
add_1_day_general_and_1_night_doctor,26.0,90.0,3,30.77,38.9967,455.85,11.3634,37.6638,0.9961,0.9965,0.95,0.6986,6.8808
add_1_day_general_and_1_night_doctor,24.0,90.0,3,31.24,38.96,453.4167,11.7735,37.7264,0.9909,0.9942,0.95,0.6988,7.2081
add_1_day_general_and_1_night_doctor,18.0,120.0,3,31.32,28.63,459.27,16.3605,17.2775,0.9796,1.0,0.9506,0.6987,6.3211
add_1_day_general_and_1_night_doctor,18.0,110.0,3,31.3667,29.3467,454.3467,16.3398,20.1124,0.9803,1.0,0.9501,0.6988,6.295
add_1_day_general_and_1_night_doctor,26.0,80.0,3,31.3833,48.22,452.85,11.232,46.3729,0.995,0.9941,0.9506,0.6987,6.4819
add_1_day_general_and_1_night_doctor,28.0,80.0,3,31.4367,48.5367,449.8467,11.2785,46.8938,0.9939,0.993,0.9511,0.6994,6.5416
add_1_day_general_and_1_night_doctor,30.0,80.0,3,31.4367,48.5367,449.8467,11.2785,46.8938,0.9939,0.993,0.9511,0.6994,6.5416
add_1_day_general_and_1_night_doctor,22.0,90.0,3,31.4967,39.2733,453.0067,12.7432,38.1451,0.9923,0.9977,0.9504,0.6989,6.5427
add_1_day_general_and_1_night_doctor,20.0,100.0,3,31.5133,31.5067,455.29,14.3892,29.3819,0.9876,0.9953,0.9504,0.6988,6.6308
add_1_day_general_and_1_night_doctor,24.0,80.0,3,31.98,48.2467,453.0433,11.6044,46.6099,0.993,0.9953,0.9501,0.6989,6.7047
add_1_day_general_and_1_night_doctor,20.0,90.0,3,32.2633,38.7667,450.9733,14.2559,37.8896,0.9902,0.9965,0.9502,0.6989,6.3824
add_1_day_general_and_1_night_doctor,16.0,120.0,3,32.3767,29.6333,456.0867,18.0912,17.1858,0.9708,1.0,0.9505,0.6987,6.6973
add_1_day_general_and_1_night_doctor,26.0,70.0,3,32.6667,57.7733,448.57,11.4014,55.0168,0.9932,0.9871,0.9504,0.699,6.4475
add_1_day_general_and_1_night_doctor,16.0,110.0,3,32.73,30.11,458.0067,18.0488,19.9422,0.9708,1.0,0.9509,0.6985,6.4648
add_1_day_general_and_1_night_doctor,28.0,60.0,3,32.86,68.2833,448.5433,11.3218,63.7466,0.9934,0.9883,0.951,0.699,5.7504
add_1_day_general_and_1_night_doctor,30.0,60.0,3,32.86,68.2833,448.5433,11.3218,63.7466,0.9934,0.9883,0.951,0.699,5.7504
add_1_day_general_and_1_night_doctor,26.0,60.0,3,32.88,68.1133,443.9,11.2747,63.5254,0.9943,0.9872,0.9497,0.6987,5.4642
add_1_day_general_and_1_night_doctor,22.0,80.0,3,32.9067,48.3467,453.7267,12.7114,46.8021,0.9922,0.993,0.9507,0.6986,6.8964
add_1_day_general_and_1_night_doctor,24.0,70.0,3,33.1267,57.2567,447.3733,11.6248,54.7747,0.9961,0.9883,0.9501,0.699,6.9908
add_1_day_general_and_1_night_doctor,18.0,100.0,3,33.29,32.1633,456.92,16.2271,29.2526,0.9842,0.9965,0.9511,0.6989,7.4954
add_1_day_general_and_1_night_doctor,14.0,120.0,3,33.5467,31.26,457.9333,19.7954,17.3338,0.9522,1.0,0.9504,0.6983,6.5204
add_1_day_general_and_1_night_doctor,28.0,70.0,3,33.55,58.1367,451.7567,11.4322,55.0087,0.9934,0.9918,0.9513,0.6992,7.6373
add_1_day_general_and_1_night_doctor,30.0,70.0,3,33.55,58.1367,451.7567,11.4322,55.0087,0.9934,0.9918,0.9513,0.6992,7.6373
add_1_day_general_and_1_night_doctor,16.0,100.0,3,33.6733,33.1967,450.8467,17.8499,29.038,0.9764,0.9977,0.9505,0.6989,6.5706
add_1_day_general_and_1_night_doctor,20.0,80.0,3,33.7333,47.7,445.27,14.4621,46.2199,0.9849,0.9953,0.9505,0.6991,6.5727
add_1_day_general_and_1_night_doctor,18.0,90.0,3,33.8967,39.0833,454.7967,16.0505,38.056,0.9867,0.9941,0.9506,0.6987,7.0465
add_1_day_general_and_1_night_doctor,22.0,70.0,3,33.9167,57.31,448.8233,12.6746,54.6637,0.9925,0.9906,0.9507,0.6992,7.1743
add_1_day_general_and_1_night_doctor,14.0,110.0,3,33.93,32.0167,450.5,19.7735,20.0072,0.9531,0.9988,0.9511,0.6988,6.3851
add_1_day_general_and_1_night_doctor,22.0,60.0,3,34.1267,68.7933,448.8767,12.5715,64.5591,0.9943,0.9743,0.9503,0.6988,5.8981
add_1_day_general_and_1_night_doctor,24.0,60.0,3,34.28,67.3133,445.3233,11.6017,64.0013,0.9945,0.9802,0.95,0.6987,6.8026
add_1_day_general_and_1_night_doctor,12.0,120.0,3,34.59,32.5567,450.7367,21.5177,17.1078,0.9316,0.9988,0.9509,0.6989,6.6589
add_1_day_general_and_1_night_doctor,16.0,90.0,3,34.61,39.5833,448.6033,17.84,38.0933,0.9734,0.9941,0.9502,0.6987,6.443
add_1_day_general_and_1_night_doctor,20.0,70.0,3,34.6267,58.1767,444.99,14.3587,55.0957,0.9895,0.9894,0.9497,0.6985,6.6609
add_1_day_general_and_1_night_doctor,24.0,50.0,3,34.8733,77.9867,445.3433,11.5203,72.5835,0.9932,0.9662,0.9511,0.699,6.5808
add_1_day_general_and_1_night_doctor,14.0,100.0,3,34.9467,33.8767,454.3367,19.6363,29.3784,0.9538,0.9977,0.9498,0.6982,6.7715
add_1_day_general_and_1_night_doctor,18.0,80.0,3,34.95,48.4467,450.2333,16.0412,46.5071,0.9842,0.9941,0.9505,0.6988,7.0103
add_1_day_general_and_1_night_doctor,12.0,110.0,3,35.0567,33.32,448.8533,21.5417,19.5058,0.9235,0.9988,0.9511,0.6988,7.0672
add_1_day_general_and_1_night_doctor,26.0,50.0,3,35.1733,78.71,447.4267,11.434,72.6706,0.9946,0.9709,0.9503,0.6988,6.6334
add_1_day_general_and_1_night_doctor,18.0,70.0,3,35.3,58.1867,447.9467,16.109,55.2386,0.986,0.9895,0.9505,0.6988,6.1543
add_1_day_general_and_1_night_doctor,22.0,50.0,3,35.3067,77.55,443.7133,12.6225,72.0296,0.995,0.972,0.9504,0.699,6.1644
add_1_day_general_and_1_night_doctor,28.0,50.0,3,35.3367,78.69,441.92,11.4212,72.8369,0.9954,0.9697,0.9502,0.6988,6.6945
add_1_day_general_and_1_night_doctor,30.0,50.0,3,35.3367,78.69,441.92,11.4212,72.8369,0.9954,0.9697,0.9502,0.6988,6.6945
add_1_day_general_and_1_night_doctor,20.0,60.0,3,35.46,68.48,444.28,14.3036,63.7866,0.9913,0.9824,0.9506,0.6986,6.5345
add_1_day_general_and_1_night_doctor,10.0,110.0,3,35.6,34.4467,447.42,23.2667,19.6305,0.8874,0.9988,0.9506,0.6987,6.3445
add_1_day_general_and_1_night_doctor,24.0,40.0,3,35.76,87.83,444.84,11.5477,80.4401,0.9932,0.9581,0.9504,0.6986,6.4608
add_1_day_general_and_1_night_doctor,16.0,80.0,3,35.9433,48.2,448.4167,17.8775,46.4683,0.9709,0.993,0.9507,0.6987,6.823
add_1_day_general_and_1_night_doctor,10.0,120.0,3,36.14,34.3433,451.09,23.2527,16.7757,0.891,1.0,0.9507,0.6987,7.0002
add_1_day_general_and_1_night_doctor,14.0,90.0,3,36.2933,39.9033,452.2967,19.7096,37.7855,0.9551,0.9976,0.9511,0.6989,7.118
add_1_day_general_and_1_night_doctor,26.0,40.0,3,36.3167,88.4067,446.55,11.2337,81.1782,0.9943,0.9487,0.9502,0.6983,6.9159
add_1_day_general_and_1_night_doctor,20.0,50.0,3,36.3233,77.52,441.87,14.306,71.8875,0.9897,0.9697,0.9503,0.6986,5.9941
add_1_day_general_and_1_night_doctor,12.0,100.0,3,36.3633,36.0433,447.3967,21.4587,29.7435,0.93,0.9953,0.9503,0.6987,7.0443
add_1_day_general_and_1_night_doctor,22.0,40.0,3,36.6133,87.94,445.33,12.533,80.7048,0.9947,0.9557,0.9505,0.6985,6.7353
add_1_day_general_and_1_night_doctor,24.0,30.0,3,36.6367,97.4467,440.6733,11.5732,89.3601,0.9934,0.9324,0.9508,0.6986,6.0763
add_1_day_general_and_1_night_doctor,28.0,40.0,3,36.67,87.8433,442.6733,11.2653,80.5826,0.9943,0.9534,0.9507,0.6986,7.2806
add_1_day_general_and_1_night_doctor,30.0,40.0,3,36.67,87.8433,442.6733,11.2653,80.5826,0.9943,0.9534,0.9507,0.6986,7.2806
add_1_day_general_and_1_night_doctor,16.0,70.0,3,36.7167,58.0233,443.1767,17.8693,54.9836,0.9696,0.9918,0.951,0.6989,6.3968
add_1_day_general_and_1_night_doctor,28.0,30.0,3,36.7633,97.5067,443.1833,11.2922,88.9383,0.9945,0.9312,0.9501,0.6983,6.3584
add_1_day_general_and_1_night_doctor,30.0,30.0,3,36.7633,97.5067,443.1833,11.2922,88.9383,0.9945,0.9312,0.9501,0.6983,6.3584
add_1_day_general_and_1_night_doctor,12.0,90.0,3,36.9367,40.1867,449.4033,21.3572,38.1638,0.9336,0.9941,0.9501,0.698,6.5537
add_1_day_general_and_1_night_doctor,26.0,30.0,3,37.04,96.99,443.0467,11.1923,88.5443,0.995,0.9383,0.9508,0.6988,6.6224
add_1_day_general_and_1_night_doctor,10.0,100.0,3,37.1733,36.53,447.6167,23.1968,29.3119,0.8943,0.9965,0.9507,0.6985,6.8288
add_1_day_general_and_1_night_doctor,12.0,80.0,3,37.1767,49.0133,440.9633,21.2999,46.3484,0.9321,0.9941,0.9507,0.6989,5.7912
add_1_day_general_and_1_night_doctor,8.0,120.0,3,37.2033,36.5167,447.1467,25.1262,17.3358,0.8294,1.0,0.951,0.699,6.9732
add_1_day_general_and_1_night_doctor,28.0,20.0,3,37.2267,107.86,438.1533,11.1538,97.6416,0.9957,0.8764,0.9513,0.6989,5.609
add_1_day_general_and_1_night_doctor,30.0,20.0,3,37.2267,107.86,438.1533,11.1538,97.6416,0.9957,0.8764,0.9513,0.6989,5.609
add_1_day_general_and_1_night_doctor,14.0,80.0,3,37.25,48.18,443.02,19.5736,46.6132,0.9585,0.9941,0.9505,0.6991,7.3412
add_1_day_general_and_1_night_doctor,26.0,20.0,3,37.3233,107.24,440.1467,11.2517,97.5143,0.9954,0.8694,0.9502,0.6981,5.7015
add_1_day_general_and_1_night_doctor,8.0,110.0,3,37.4167,36.2867,443.6967,25.095,19.665,0.8252,1.0,0.9506,0.6988,6.9706
add_1_day_general_and_1_night_doctor,18.0,60.0,3,37.5133,67.7367,446.1433,16.1201,64.2697,0.982,0.979,0.9511,0.6985,7.4127
add_1_day_general_and_1_night_doctor,18.0,50.0,3,37.5767,78.3367,442.32,15.9382,72.5386,0.9844,0.9697,0.9498,0.6983,6.3879
add_1_day_general_and_1_night_doctor,14.0,70.0,3,37.76,58.2133,439.1633,19.6144,55.1195,0.9577,0.9859,0.9504,0.6989,6.4103
add_1_day_general_and_1_night_doctor,20.0,40.0,3,37.82,88.4033,441.0633,14.2425,80.9526,0.9915,0.9557,0.9506,0.6985,6.6168
add_1_day_general_and_1_night_doctor,12.0,70.0,3,38.06,57.6433,438.38,21.2477,55.3113,0.9337,0.9871,0.9506,0.699,5.6482
add_1_day_general_and_1_night_doctor,16.0,50.0,3,38.1367,78.1167,438.1233,17.7737,72.6573,0.9766,0.9662,0.9504,0.6986,5.5441
add_1_day_general_and_1_night_doctor,6.0,110.0,3,38.1667,38.0233,443.8067,26.8828,19.5932,0.7291,0.9977,0.9507,0.6988,6.6363
add_1_day_general_and_1_night_doctor,16.0,60.0,3,38.1933,67.7267,442.2033,17.9114,64.1532,0.9737,0.9802,0.9507,0.6986,6.827
add_1_day_general_and_1_night_doctor,24.0,20.0,3,38.2033,107.15,438.9133,11.5022,97.5129,0.9943,0.8823,0.9507,0.6986,6.5308
add_1_day_general_and_1_night_doctor,6.0,120.0,3,38.2067,38.0033,443.8733,26.7992,17.1031,0.7564,1.0,0.9509,0.6989,7.1137
add_1_day_general_and_1_night_doctor,22.0,30.0,3,38.2433,97.4333,438.2233,12.5697,89.322,0.9911,0.9243,0.951,0.6989,7.0676
add_1_day_general_and_1_night_doctor,10.0,90.0,3,38.4833,40.9467,444.21,23.1907,37.6096,0.8899,0.9953,0.9502,0.6984,7.2264
add_1_day_general_and_1_night_doctor,8.0,100.0,3,38.7167,38.3233,444.5,24.8246,29.2867,0.8423,0.9965,0.9503,0.6986,7.311
add_1_day_general_and_1_night_doctor,4.0,110.0,3,38.75,40.1567,442.8033,28.6489,19.7362,0.6106,0.9976,0.951,0.6986,5.8423
add_1_day_general_and_1_night_doctor,22.0,20.0,3,38.7967,106.8833,441.05,12.5541,96.9469,0.995,0.8741,0.9502,0.6983,6.6431
add_1_day_general_and_1_night_doctor,18.0,40.0,3,38.9133,88.4033,438.5433,15.9384,81.679,0.9826,0.9487,0.9509,0.6988,6.3425
add_1_day_general_and_1_night_doctor,28.0,10.0,3,38.9233,116.95,437.29,11.234,105.228,0.9966,0.7668,0.9496,0.6983,6.5722
add_1_day_general_and_1_night_doctor,30.0,10.0,3,38.9233,116.95,437.29,11.234,105.228,0.9966,0.7668,0.9496,0.6983,6.5722
add_1_day_general_and_1_night_doctor,14.0,60.0,3,39.0267,67.6733,434.7533,19.4722,63.6813,0.9573,0.9813,0.9509,0.6992,6.4279
add_1_day_general_and_1_night_doctor,20.0,30.0,3,39.2333,97.87,436.5667,14.0493,89.1096,0.9911,0.9184,0.9501,0.6985,7.2711
add_1_day_general_and_1_night_doctor,4.0,120.0,3,39.2933,39.87,441.2133,28.6574,17.0901,0.6024,0.9988,0.9507,0.699,6.6688
add_1_day_general_and_1_night_doctor,10.0,70.0,3,39.5233,57.5967,440.1633,23.0156,54.4609,0.894,0.9883,0.9508,0.6987,5.9216
add_1_day_general_and_1_night_doctor,22.0,10.0,3,39.68,117.2567,436.0133,12.6435,105.105,0.9934,0.7597,0.9498,0.6985,6.394
add_1_day_general_and_1_night_doctor,10.0,80.0,3,39.6967,49.5633,445.4233,23.0677,46.3808,0.8897,0.9953,0.9505,0.6984,7.096
add_1_day_general_and_1_night_doctor,26.0,10.0,3,39.75,117.4333,436.7933,11.2553,105.5358,0.9961,0.7518,0.9502,0.6986,7.5635
add_1_day_general_and_1_night_doctor,24.0,10.0,3,39.79,116.73,436.6733,11.6067,104.7603,0.9943,0.7726,0.9509,0.6987,7.1072
add_1_day_general_and_1_night_doctor,8.0,80.0,3,39.7933,49.2467,441.6933,24.9111,46.517,0.838,0.993,0.9508,0.6988,5.9268
add_1_day_general_and_1_night_doctor,6.0,100.0,3,39.8467,39.4533,442.2067,26.7814,28.5722,0.734,0.9965,0.9504,0.6987,7.4843
add_1_day_general_and_1_night_doctor,20.0,20.0,3,39.9567,107.2667,437.4867,14.2207,97.6184,0.9879,0.8777,0.95,0.6982,6.7367
add_1_day_general_and_1_night_doctor,14.0,50.0,3,39.9667,78.1367,439.0133,19.4989,72.0151,0.9607,0.9731,0.951,0.6987,6.3587
add_1_day_general_and_1_night_doctor,28.0,0.0,3,39.9733,127.1033,433.1033,11.2409,113.6296,0.9943,0.152,0.9505,0.6986,6.4668
add_1_day_general_and_1_night_doctor,30.0,0.0,3,39.9733,127.1033,433.1033,11.2409,113.6296,0.9943,0.152,0.9505,0.6986,6.4668
add_1_day_general_and_1_night_doctor,18.0,30.0,3,39.9967,98.5533,437.84,15.8283,89.0496,0.9826,0.9219,0.9503,0.6987,6.5373
add_1_day_general_and_1_night_doctor,12.0,60.0,3,40.0433,67.04,439.4,21.2737,63.4977,0.9332,0.9778,0.9507,0.6987,6.3598
add_1_day_general_and_1_night_doctor,8.0,90.0,3,40.08,42.4567,442.82,24.9563,37.7393,0.8386,0.9953,0.9511,0.6988,7.7896
add_1_day_general_and_1_night_doctor,26.0,0.0,3,40.1333,127.15,432.19,11.2801,113.7725,0.9945,0.152,0.9511,0.6988,6.3809
add_1_day_general_and_1_night_doctor,6.0,90.0,3,40.1967,42.88,440.11,26.7473,37.5424,0.7421,0.993,0.9511,0.6988,6.5094
add_1_day_general_and_1_night_doctor,2.0,120.0,3,40.2067,42.1867,443.4867,30.5064,16.7354,0.421,1.0,0.9499,0.6985,6.6591
add_1_day_general_and_1_night_doctor,2.0,110.0,3,40.25,41.54,443.42,30.2595,20.1301,0.4165,1.0,0.9509,0.6987,6.5141
add_1_day_general_and_1_night_doctor,20.0,10.0,3,40.3367,117.65,436.3867,14.1433,105.8377,0.9918,0.7434,0.9506,0.6983,5.964
add_1_day_general_and_1_night_doctor,24.0,0.0,3,40.3467,126.9367,434.1333,11.5317,113.5229,0.9954,0.1578,0.9507,0.6986,6.8583
add_1_day_general_and_1_night_doctor,16.0,40.0,3,40.4567,88.05,439.61,17.7,80.7912,0.9757,0.9499,0.951,0.6986,7.1747
add_1_day_general_and_1_night_doctor,4.0,100.0,3,40.7067,41.3033,442.43,28.4159,28.5547,0.6179,1.0,0.9504,0.6987,7.2854
add_1_day_general_and_1_night_doctor,0.0,120.0,3,40.8633,43.6333,437.7267,32.1559,17.3067,0.1205,1.0,0.9504,0.699,6.2649
