k_level3,k_level4,replications,avg_waiting_time,p95_waiting_time,avg_time_in_system,level3_avg_wait,level4_avg_wait,level3_service_level,level4_service_level,doctor_utilization,nurse_utilization,avg_waiting_time_sd
26.0,120.0,10,83.699,35.357,1935.012,12.9651,29.7888,0.9782,0.9728,0.9793,0.6293,10.1631
28.0,120.0,10,83.719,35.351,1935.498,13.0259,29.772,0.9788,0.9719,0.9799,0.6296,10.1347
30.0,120.0,10,83.719,35.351,1935.498,13.0259,29.772,0.9788,0.9719,0.9799,0.6296,10.1347
26.0,115.0,10,83.739,35.062,1940.229,13.0287,29.6787,0.9794,0.9736,0.9796,0.6293,10.1622
28.0,115.0,10,83.832,35.201,1943.857,13.048,29.85,0.9793,0.9715,0.9794,0.6292,10.2322
30.0,115.0,10,83.832,35.201,1943.857,13.048,29.85,0.9793,0.9715,0.9794,0.6292,10.2322
24.0,120.0,10,83.877,35.239,1935.543,13.332,29.2731,0.9775,0.9743,0.9793,0.6292,10.0467
24.0,115.0,10,83.899,35.881,1932.382,13.3171,29.814,0.9767,0.9717,0.9793,0.6293,10.0347
28.0,110.0,10,83.968,36.836,1934.786,12.8866,32.3475,0.9798,0.9708,0.9796,0.6294,10.1187
30.0,110.0,10,83.968,36.836,1934.786,12.8866,32.3475,0.9798,0.9708,0.9796,0.6294,10.1187
26.0,110.0,10,83.981,36.664,1930.346,12.9329,32.5199,0.9806,0.9713,0.98,0.6296,10.1049
24.0,110.0,10,84.437,37.67,1945.842,13.2982,33.3246,0.9766,0.9675,0.9792,0.629,10.0873
22.0,120.0,10,84.642,35.429,1934.478,14.5122,29.4356,0.971,0.9718,0.9798,0.6293,9.9726
26.0,105.0,10,84.653,40.159,1929.456,12.9652,37.5991,0.9806,0.9637,0.9799,0.6296,10.2198
28.0,105.0,10,84.668,39.874,1930.113,12.9922,37.4077,0.9772,0.9669,0.9795,0.6294,10.0874
30.0,105.0,10,84.668,39.874,1930.113,12.9922,37.4077,0.9772,0.9669,0.9795,0.6294,10.0874
22.0,115.0,10,84.684,36.033,1937.73,14.5937,29.2963,0.9693,0.9742,0.9798,0.6295,10.0376
24.0,105.0,10,84.982,40.371,1932.334,13.318,37.9097,0.9787,0.9622,0.9797,0.6296,10.0667
22.0,110.0,10,85.128,37.48,1939.255,14.507,32.7374,0.9716,0.9689,0.9798,0.6291,10.0109
26.0,100.0,10,85.318,44.874,1929.825,12.9758,42.5828,0.9779,0.9627,0.9797,0.6295,10.0877
28.0,100.0,10,85.344,44.326,1933.176,12.9934,42.5227,0.9787,0.9585,0.9795,0.6295,10.069
30.0,100.0,10,85.344,44.326,1933.176,12.9934,42.5227,0.9787,0.9585,0.9795,0.6295,10.069
24.0,100.0,10,85.6,44.343,1934.815,13.3098,42.7078,0.9788,0.9618,0.9795,0.6292,9.906
22.0,105.0,10,85.725,40.76,1928.206,14.4756,37.7878,0.9745,0.9622,0.9796,0.6293,10.0674
20.0,120.0,10,85.805,37.156,1929.639,16.3565,29.5095,0.9612,0.9709,0.9798,0.6296,10.0914
20.0,115.0,10,85.869,37.083,1932.739,16.3892,29.622,0.9619,0.9713,0.9797,0.6295,10.0231
28.0,95.0,10,85.939,49.578,1936.208,12.8485,47.4449,0.9804,0.9536,0.9795,0.6293,10.2103
30.0,95.0,10,85.939,49.578,1936.208,12.8485,47.4449,0.9804,0.9536,0.9795,0.6293,10.2103
26.0,95.0,10,86.043,48.807,1940.455,12.9483,47.2709,0.9794,0.9527,0.9792,0.6289,10.1926
24.0,95.0,10,86.147,48.504,1934.78,13.2469,47.017,0.9785,0.9578,0.9794,0.6292,10.1442
20.0,110.0,10,86.332,38.793,1937.489,16.3958,32.7429,0.9587,0.9696,0.9794,0.6292,10.095
22.0,100.0,10,86.408,44.908,1926.718,14.6376,42.5764,0.9705,0.9588,0.9797,0.6295,10.063
26.0,90.0,10,86.637,53.108,1929.84,12.975,52.1279,0.9785,0.9491,0.9793,0.6291,10.1162
28.0,90.0,10,86.642,53.633,1934.83,12.985,52.0727,0.9765,0.9478,0.9797,0.6293,10.0881
30.0,90.0,10,86.642,53.633,1934.83,12.985,52.0727,0.9765,0.9478,0.9797,0.6293,10.0881
24.0,90.0,10,86.721,52.658,1929.346,13.2255,51.7051,0.9792,0.9522,0.9797,0.6294,10.0402
22.0,95.0,10,87.003,49.37,1937.482,14.4747,47.4849,0.972,0.9519,0.9797,0.6293,10.1409
20.0,105.0,10,87.021,41.543,1936.506,16.409,37.6154,0.9569,0.9676,0.9793,0.6291,10.0122
28.0,85.0,10,87.105,57.718,1930.534,12.8668,56.5218,0.9808,0.9403,0.9792,0.6292,10.1289
30.0,85.0,10,87.105,57.718,1930.534,12.8668,56.5218,0.9808,0.9403,0.9792,0.6292,10.1289
26.0,85.0,10,87.145,57.739,1930.203,12.9001,56.7707,0.9798,0.9388,0.9796,0.6294,10.09
18.0,115.0,10,87.171,38.697,1931.488,18.4073,29.4377,0.9418,0.9749,0.9797,0.6294,10.1258
18.0,120.0,10,87.181,38.772,1933.526,18.3665,29.6382,0.9403,0.9729,0.9794,0.6292,10.1052
24.0,85.0,10,87.281,58.23,1921.982,13.1858,57.0063,0.9797,0.9405,0.9798,0.6297,10.1623
18.0,110.0,10,87.587,39.549,1925.926,18.3626,32.8462,0.9422,0.9674,0.9795,0.6292,10.1065
20.0,100.0,10,87.601,45.347,1928.034,16.376,42.6202,0.9588,0.9574,0.9791,0.6292,10.1176
22.0,90.0,10,87.646,53.516,1930.424,14.5742,52.1838,0.9695,0.9503,0.9794,0.6292,10.1546
28.0,80.0,10,87.77,62.64,1932.938,12.9374,61.3038,0.9797,0.9322,0.9797,0.6293,10.1375
30.0,80.0,10,87.77,62.64,1932.938,12.9374,61.3038,0.9797,0.9322,0.9797,0.6293,10.1375
26.0,80.0,10,87.804,62.363,1931.564,12.9053,61.371,0.9795,0.9309,0.9794,0.6292,10.0861
24.0,80.0,10,88.075,63.251,1923.68,13.3648,61.5429,0.9771,0.9368,0.9798,0.6295,10.0598
18.0,105.0,10,88.238,42.573,1933.63,18.3577,37.5094,0.9404,0.9629,0.9794,0.6292,10.0903
20.0,95.0,10,88.249,49.857,1936.823,16.3714,47.479,0.9581,0.9494,0.9795,0.6292,10.1073
22.0,85.0,10,88.262,59.198,1934.03,14.4978,57.1815,0.9715,0.9407,0.9796,0.6293,10.1384
16.0,120.0,10,88.349,39.887,1922.177,20.2963,29.4386,0.9168,0.9719,0.9801,0.6299,9.96
16.0,115.0,10,88.41,40.018,1924.948,20.294,29.644,0.914,0.9692,0.9799,0.6296,10.031
26.0,75.0,10,88.426,67.683,1924.127,12.9639,66.2649,0.9785,0.9251,0.9794,0.6295,10.0148
28.0,75.0,10,88.47,67.534,1926.392,12.9555,66.3251,0.9793,0.9242,0.9793,0.6293,9.9645
30.0,75.0,10,88.47,67.534,1926.392,12.9555,66.3251,0.9793,0.9242,0.9793,0.6293,9.9645
24.0,75.0,10,88.629,67.048,1929.796,13.3016,65.8994,0.9775,0.9281,0.9792,0.6291,10.0114
18.0,100.0,10,88.762,45.79,1919.371,18.3043,42.6413,0.9424,0.9596,0.9798,0.6298,10.032
22.0,80.0,10,88.818,63.003,1930.095,14.4683,61.5337,0.9726,0.9279,0.9797,0.6294,10.0765
16.0,110.0,10,88.826,41.449,1920.541,20.3094,32.8463,0.9158,0.9677,0.9793,0.6294,10.0904
20.0,90.0,10,88.835,54.128,1933.629,16.3373,52.0698,0.9611,0.9478,0.9794,0.6292,10.0511
28.0,70.0,10,89.027,71.999,1924.52,12.9018,71.0162,0.98,0.9153,0.9795,0.6293,10.0371
30.0,70.0,10,89.027,71.999,1924.52,12.9018,71.0162,0.98,0.9153,0.9795,0.6293,10.0371
26.0,70.0,10,89.095,73.168,1925.971,12.8993,71.2913,0.9801,0.9157,0.9796,0.6292,10.1389
22.0,75.0,10,89.332,67.777,1908.079,14.5485,66.3182,0.9694,0.9255,0.9798,0.63,9.9876
20.0,85.0,10,89.439,57.458,1929.804,16.4179,56.5516,0.9574,0.9434,0.9793,0.6291,10.0611
24.0,70.0,10,89.446,72.649,1929.293,13.33,71.6071,0.9778,0.9152,0.9797,0.6293,9.9796
16.0,105.0,10,89.48,43.203,1930.209,20.2809,37.6046,0.9141,0.9645,0.9796,0.6293,10.0964
18.0,95.0,10,89.647,50.395,1934.269,18.4921,47.3766,0.9353,0.9522,0.9794,0.6291,10.0551
26.0,65.0,10,89.705,78.134,1915.44,12.9705,76.559,0.979,0.8955,0.9796,0.6295,10.0367
14.0,120.0,10,89.713,41.193,1924.64,22.207,30.0537,0.8844,0.9701,0.9798,0.6294,10.0488
14.0,115.0,10,89.78,41.27,1924.105,22.2453,30.3363,0.8814,0.9674,0.9795,0.6294,10.0948
28.0,65.0,10,89.876,78.251,1929.586,13.0115,76.6824,0.9791,0.9024,0.979,0.6289,9.8736
30.0,65.0,10,89.876,78.251,1929.586,13.0115,76.6824,0.9791,0.9024,0.979,0.6289,9.8736
24.0,65.0,10,89.925,78.439,1922.252,13.1354,76.816,0.9787,0.9006,0.9795,0.6294,10.1574
20.0,80.0,10,90.064,63.033,1923.827,16.3313,61.7587,0.9594,0.9336,0.9798,0.6293,10.0713
22.0,70.0,10,90.078,72.199,1918.911,14.5129,71.0792,0.9718,0.9144,0.9795,0.6294,10.0576
18.0,90.0,10,90.118,54.511,1923.393,18.3597,52.3323,0.9405,0.9421,0.9797,0.6294,10.0346
16.0,100.0,10,90.174,46.541,1927.697,20.2851,42.9596,0.9175,0.9529,0.9793,0.6293,10.1117
14.0,110.0,10,90.278,43.428,1923.19,22.3712,33.1856,0.8778,0.9666,0.9794,0.6294,10.2052
26.0,60.0,10,90.333,82.766,1919.938,12.9138,81.2608,0.9791,0.8853,0.9798,0.6295,10.0746
28.0,60.0,10,90.37,82.196,1921.276,12.932,81.048,0.9797,0.8857,0.9802,0.6296,10.0346
30.0,60.0,10,90.37,82.196,1921.276,12.932,81.048,0.9797,0.8857,0.9802,0.6296,10.0346
20.0,75.0,10,90.611,68.002,1918.339,16.3893,66.0712,0.9574,0.9248,0.9797,0.6294,9.9928
22.0,65.0,10,90.654,77.873,1915.484,14.462,76.309,0.9729,0.9029,0.9799,0.6296,10.0497
24.0,60.0,10,90.654,83.421,1922.039,13.3004,81.6069,0.9779,0.8833,0.9796,0.6293,10.046
18.0,85.0,10,90.739,58.94,1920.189,18.3939,56.9509,0.9382,0.9402,0.9795,0.6293,10.025
16.0,95.0,10,90.762,51.327,1923.78,20.2673,47.6173,0.9167,0.9476,0.9799,0.6294,10.0418
14.0,105.0,10,90.783,45.043,1921.102,22.2749,37.9996,0.8831,0.9597,0.9795,0.6293,10.0246
26.0,55.0,10,90.918,87.26,1917.776,12.9081,85.6768,0.9802,0.8745,0.9798,0.6295,9.9289
28.0,55.0,10,90.985,87.842,1918.729,12.9423,86.1432,0.9782,0.8708,0.9797,0.6295,10.0454
30.0,55.0,10,90.985,87.842,1918.729,12.9423,86.1432,0.9782,0.8708,0.9797,0.6295,10.0454
12.0,120.0,10,91.006,43.773,1922.264,24.2676,29.6496,0.8353,0.9697,0.9795,0.6293,10.0601
12.0,115.0,10,91.057,43.698,1919.475,24.3029,29.8454,0.8356,0.968,0.9798,0.6296,10.0831
24.0,55.0,10,91.145,87.87,1918.591,13.2576,85.8301,0.9774,0.872,0.9798,0.6295,10.1076
16.0,90.0,10,91.308,54.972,1922.563,20.2288,52.2737,0.9162,0.9442,0.9793,0.6293,10.0357
20.0,70.0,10,91.322,73.253,1915.53,16.3948,71.5094,0.9559,0.9136,0.9795,0.6293,10.0177
12.0,110.0,10,91.323,43.571,1920.798,24.1596,32.9165,0.84,0.967,0.9797,0.6295,10.0025
18.0,80.0,10,91.331,62.987,1918.964,18.324,61.9227,0.9414,0.929,0.9798,0.6295,10.0809
22.0,60.0,10,91.414,83.293,1914.615,14.4756,81.8291,0.9717,0.8843,0.9796,0.6295,10.0184
14.0,100.0,10,91.418,47.373,1922.724,22.2575,42.7363,0.8818,0.958,0.9793,0.6293,9.8736
26.0,50.0,10,91.488,92.756,1921.761,12.8023,90.5991,0.9808,0.8555,0.9796,0.6293,10.0329
28.0,50.0,10,91.55,93.285,1925.543,12.7966,90.5542,0.9799,0.8547,0.9798,0.6293,10.1183
30.0,50.0,10,91.55,93.285,1925.543,12.7966,90.5542,0.9799,0.8547,0.9798,0.6293,10.1183
24.0,50.0,10,91.687,92.296,1914.951,13.2046,90.1262,0.9775,0.8623,0.98,0.6296,10.1581
16.0,85.0,10,91.925,59.217,1913.995,20.3261,56.6429,0.9132,0.9431,0.9797,0.6296,10.1608
18.0,75.0,10,91.942,68.177,1915.624,18.3088,66.5616,0.9407,0.9221,0.9794,0.6292,10.1604
14.0,95.0,10,91.958,50.604,1915.644,22.2266,47.4419,0.8839,0.9467,0.9799,0.6297,10.0988
20.0,65.0,10,91.984,78.71,1917.891,16.328,77.0591,0.9585,0.8961,0.9798,0.6295,9.9614
22.0,55.0,10,92.031,88.156,1920.451,14.4781,86.1693,0.9716,0.8687,0.9795,0.6292,9.8833
12.0,105.0,10,92.06,45.63,1919.027,24.3018,37.8904,0.8316,0.9581,0.9798,0.6295,9.9967
28.0,45.0,10,92.061,97.978,1915.843,12.7889,94.995,0.981,0.8358,0.9796,0.6293,10.0686
30.0,45.0,10,92.061,97.978,1915.843,12.7889,94.995,0.981,0.8358,0.9796,0.6293,10.0686
26.0,45.0,10,92.124,98.583,1916.926,12.8163,95.2899,0.9803,0.837,0.9792,0.6292,10.1018
10.0,120.0,10,92.167,45.003,1917.509,26.1563,29.3306,0.7803,0.966,0.9799,0.6297,10.1719
10.0,115.0,10,92.295,45.051,1920.911,26.2286,29.5078,0.7775,0.9676,0.9796,0.6293,10.186
24.0,45.0,10,92.426,98.133,1924.75,13.2088,95.1873,0.9787,0.8395,0.9793,0.629,10.082
20.0,60.0,10,92.636,82.539,1917.969,16.3363,81.44,0.9601,0.8843,0.9796,0.6293,9.9696
18.0,70.0,10,92.64,73.866,1919.922,18.2286,72.1037,0.9434,0.9037,0.9796,0.6293,10.1006
16.0,80.0,10,92.649,64.088,1922.167,20.2816,62.1256,0.9173,0.9282,0.9793,0.6292,10.0389
12.0,100.0,10,92.67,49.073,1920.034,24.1813,43.1001,0.8426,0.9562,0.9793,0.6293,10.048
26.0,40.0,10,92.671,102.439,1915.639,12.9076,99.0954,0.9801,0.8277,0.9797,0.6294,10.1883
22.0,50.0,10,92.672,93.832,1921.003,14.4328,91.0662,0.9714,0.8534,0.9794,0.6292,10.1565
14.0,90.0,10,92.674,55.383,1916.903,22.2482,52.4729,0.8845,0.9448,0.9794,0.6293,10.0962
10.0,110.0,10,92.679,45.445,1921.4,26.1691,32.8093,0.7801,0.9643,0.9797,0.6293,10.1296
28.0,40.0,10,92.735,102.071,1917.345,12.9161,99.5198,0.9793,0.8243,0.9794,0.6292,10.2577
30.0,40.0,10,92.735,102.071,1917.345,12.9161,99.5198,0.9793,0.8243,0.9794,0.6292,10.2577
24.0,40.0,10,92.969,102.759,1917.73,13.2262,99.5051,0.9779,0.821,0.9794,0.6292,10.1796
22.0,45.0,10,93.036,97.67,1912.404,14.3592,94.9907,0.9737,0.8398,0.9799,0.6295,10.0814
20.0,55.0,10,93.228,87.609,1917.864,16.3459,85.9123,0.9554,0.8704,0.9794,0.629,9.9006
14.0,85.0,10,93.247,59.388,1911.487,22.2879,56.9632,0.8844,0.9362,0.9802,0.6297,10.0958
16.0,75.0,10,93.283,68.595,1926.165,20.206,67.0705,0.9182,0.9181,0.9795,0.6292,10.2664
28.0,35.0,10,93.294,106.32,1915.401,12.8731,104.2358,0.9811,0.8029,0.9801,0.6295,10.1205
30.0,35.0,10,93.294,106.32,1915.401,12.8731,104.2358,0.9811,0.8029,0.9801,0.6295,10.1205
26.0,35.0,10,93.323,106.57,1916.492,12.8495,104.2603,0.9793,0.8036,0.9794,0.6292,10.1005
18.0,65.0,10,93.335,77.331,1922.51,18.3402,76.699,0.939,0.8951,0.9794,0.629,10.0065
12.0,95.0,10,93.399,52.685,1921.977,24.2339,47.7208,0.842,0.9497,0.9794,0.6292,9.9731
10.0,105.0,10,93.44,47.961,1923.696,26.1928,38.3535,0.7815,0.9554,0.9791,0.6291,10.1205
24.0,35.0,10,93.575,107.513,1913.682,13.2458,104.1718,0.9771,0.7997,0.9795,0.6292,10.1267
8.0,115.0,10,93.591,46.492,1918.329,28.1193,30.1374,0.7056,0.9647,0.9796,0.6294,9.9721
8.0,120.0,10,93.632,46.597,1926.988,28.2169,29.7032,0.6991,0.966,0.9795,0.6291,9.9696
22.0,40.0,10,93.723,103.274,1911.593,14.375,100.1112,0.9743,0.8185,0.9796,0.6295,10.0494
28.0,30.0,10,93.827,111.683,1910.335,12.885,108.2825,0.9807,0.7745,0.9795,0.6294,10.1764
30.0,30.0,10,93.827,111.683,1910.335,12.885,108.2825,0.9807,0.7745,0.9795,0.6294,10.1764
20.0,50.0,10,93.842,94.026,1912.142,16.3173,91.3769,0.9595,0.8471,0.9798,0.6295,9.987
26.0,30.0,10,93.886,111.452,1915.243,12.8794,108.5785,0.9796,0.7748,0.9795,0.6292,10.1335
