scenario_name,k_level3,k_level4,replications,avg_waiting_time,p95_waiting_time,avg_time_in_system,level3_avg_wait,level4_avg_wait,level3_service_level,level4_service_level,doctor_utilization,nurse_utilization,avg_waiting_time_sd
add_1_day_general_doctor,26.0,110.0,10,66.238,27.296,813.528,11.685,21.6961,0.989,0.9911,0.975,0.679,17.1667
add_1_day_general_doctor,28.0,110.0,10,66.252,26.876,815.567,11.6646,21.7981,0.9899,0.9915,0.9749,0.6789,17.3456
add_1_day_general_doctor,30.0,110.0,10,66.252,26.876,815.567,11.6646,21.7981,0.9899,0.9915,0.9749,0.6789,17.3456
add_1_day_general_doctor,26.0,115.0,10,66.528,25.852,820.091,11.6087,18.8164,0.9905,0.9928,0.9746,0.6784,16.8215
add_1_day_general_doctor,28.0,115.0,10,66.87,25.942,821.805,11.6125,19.5164,0.9915,0.9925,0.9747,0.6785,16.8287
add_1_day_general_doctor,30.0,115.0,10,66.87,25.942,821.805,11.6125,19.5164,0.9915,0.9925,0.9747,0.6785,16.8287
add_1_day_general_doctor,26.0,100.0,10,66.875,32.985,809.258,11.5753,31.4085,0.9913,0.9904,0.975,0.6788,17.7248
add_1_day_general_doctor,26.0,120.0,10,66.968,26.04,817.51,11.6239,19.0009,0.9909,0.9925,0.9743,0.6784,16.3637
add_1_day_general_doctor,24.0,105.0,10,67.134,29.247,814.769,11.9926,26.665,0.9903,0.9898,0.9743,0.6783,17.2229
add_1_day_general_doctor,22.0,120.0,10,67.284,27.085,816.223,13.0258,19.1994,0.9869,0.9904,0.9747,0.6787,16.987
add_1_day_general_doctor,22.0,115.0,10,67.286,27.111,813.366,13.0428,19.2078,0.9873,0.9911,0.9751,0.679,16.7648
add_1_day_general_doctor,22.0,110.0,10,67.321,27.701,814.912,13.074,22.0646,0.9881,0.9904,0.9748,0.6786,16.9803
add_1_day_general_doctor,28.0,105.0,10,67.366,29.206,809.728,11.5823,26.483,0.9906,0.9914,0.9749,0.6788,17.266
add_1_day_general_doctor,30.0,105.0,10,67.366,29.206,809.728,11.5823,26.483,0.9906,0.9914,0.9749,0.6788,17.266
add_1_day_general_doctor,24.0,110.0,10,67.402,27.274,818.91,11.989,21.8505,0.9896,0.9921,0.9744,0.6784,16.6167
add_1_day_general_doctor,28.0,120.0,10,67.424,25.677,815.486,11.6086,18.942,0.9918,0.9932,0.9745,0.6786,16.2992
add_1_day_general_doctor,30.0,120.0,10,67.424,25.677,815.486,11.6086,18.942,0.9918,0.9932,0.9745,0.6786,16.2992
add_1_day_general_doctor,24.0,120.0,10,67.576,26.158,817.585,11.9793,18.715,0.9885,0.9918,0.9748,0.6784,16.3693
add_1_day_general_doctor,28.0,100.0,10,67.633,33.098,807.484,11.5897,31.3937,0.991,0.9907,0.9747,0.6788,17.6686
add_1_day_general_doctor,30.0,100.0,10,67.633,33.098,807.484,11.5897,31.3937,0.991,0.9907,0.9747,0.6788,17.6686
add_1_day_general_doctor,26.0,105.0,10,67.944,29.138,812.511,11.6235,26.6672,0.9904,0.9911,0.9746,0.6787,17.1668
add_1_day_general_doctor,24.0,95.0,10,68.196,36.564,810.465,11.9263,36.2542,0.9903,0.9888,0.9749,0.6788,17.5781
add_1_day_general_doctor,24.0,115.0,10,68.213,25.988,819.259,11.8717,18.9554,0.99,0.9911,0.9746,0.6782,15.9618
add_1_day_general_doctor,24.0,100.0,10,68.214,32.691,813.829,11.9206,31.7405,0.9907,0.9883,0.9747,0.6786,17.5083
add_1_day_general_doctor,20.0,120.0,10,68.788,28.345,809.66,14.8482,18.9174,0.9809,0.9908,0.9747,0.6788,17.3274
add_1_day_general_doctor,20.0,115.0,10,69.06,28.323,814.181,14.8408,19.0689,0.9807,0.9901,0.9748,0.6786,17.044
add_1_day_general_doctor,22.0,105.0,10,69.213,29.878,811.402,13.0562,26.5034,0.9879,0.9894,0.9745,0.6785,16.6189
add_1_day_general_doctor,28.0,95.0,10,69.314,37.355,813.231,11.6032,36.5574,0.9904,0.9887,0.9749,0.6785,17.3006
add_1_day_general_doctor,30.0,95.0,10,69.314,37.355,813.231,11.6032,36.5574,0.9904,0.9887,0.9749,0.6785,17.3006
add_1_day_general_doctor,20.0,105.0,10,69.316,31.243,812.529,14.821,26.9293,0.9811,0.9901,0.9743,0.6785,16.8666
add_1_day_general_doctor,26.0,95.0,10,69.471,36.437,813.74,11.5599,36.3808,0.991,0.9883,0.9747,0.6784,16.4068
add_1_day_general_doctor,22.0,100.0,10,69.518,33.247,818.722,13.0644,31.5081,0.9868,0.9898,0.9747,0.6782,16.7728
add_1_day_general_doctor,22.0,95.0,10,69.553,37.215,816.224,13.0397,36.4378,0.9875,0.9873,0.9747,0.6782,17.219
add_1_day_general_doctor,20.0,110.0,10,69.634,29.021,815.698,14.8375,22.0355,0.982,0.9911,0.9748,0.6785,16.5731
add_1_day_general_doctor,24.0,90.0,10,69.644,41.645,811.38,11.9138,40.9627,0.9895,0.987,0.9748,0.6788,17.8209
add_1_day_general_doctor,24.0,85.0,10,69.732,46.351,812.464,11.9737,46.2912,0.9887,0.9835,0.9743,0.6784,17.9731
add_1_day_general_doctor,18.0,120.0,10,69.831,29.345,811.912,16.7193,19.2646,0.9752,0.9908,0.9748,0.6787,16.707
add_1_day_general_doctor,20.0,100.0,10,69.886,33.613,803.73,14.8113,31.5307,0.9832,0.9887,0.9749,0.6788,16.828
add_1_day_general_doctor,22.0,90.0,10,69.976,41.507,810.762,13.0682,40.9181,0.9865,0.9872,0.9749,0.6785,17.2956
add_1_day_general_doctor,18.0,115.0,10,70.044,29.948,814.267,16.765,19.5074,0.9738,0.9904,0.9746,0.6785,16.7206
add_1_day_general_doctor,18.0,110.0,10,70.056,30.655,809.708,16.7979,22.418,0.9726,0.9894,0.9751,0.6789,17.0297
add_1_day_general_doctor,26.0,85.0,10,70.109,46.248,813.821,11.5856,45.97,0.9913,0.9846,0.9743,0.6781,17.7052
add_1_day_general_doctor,28.0,85.0,10,70.246,46.341,811.824,11.625,45.9192,0.991,0.9845,0.9745,0.6785,17.312
add_1_day_general_doctor,30.0,85.0,10,70.246,46.341,811.824,11.625,45.9192,0.991,0.9845,0.9745,0.6785,17.312
add_1_day_general_doctor,24.0,80.0,10,70.324,50.561,806.457,11.8991,50.6344,0.9887,0.9826,0.9747,0.6785,17.6477
add_1_day_general_doctor,20.0,95.0,10,70.37,37.926,809.126,14.8077,36.8096,0.9826,0.9873,0.9749,0.6788,17.4471
add_1_day_general_doctor,26.0,80.0,10,70.526,50.835,812.002,11.6395,50.7551,0.9899,0.9833,0.9746,0.6783,17.3881
add_1_day_general_doctor,18.0,105.0,10,70.528,32.049,809.056,16.6983,27.0611,0.9739,0.9897,0.9746,0.6784,16.8931
add_1_day_general_doctor,22.0,85.0,10,70.726,46.127,803.66,13.0436,46.0884,0.9859,0.9845,0.9751,0.6787,17.2879
add_1_day_general_doctor,28.0,90.0,10,70.787,41.334,816.616,11.5955,41.0871,0.9909,0.985,0.9744,0.6781,17.2811
add_1_day_general_doctor,30.0,90.0,10,70.787,41.334,816.616,11.5955,41.0871,0.9909,0.985,0.9744,0.6781,17.2811
add_1_day_general_doctor,18.0,100.0,10,70.879,34.575,804.228,16.696,31.8585,0.9736,0.988,0.9745,0.6786,17.302
add_1_day_general_doctor,16.0,110.0,10,70.928,32.046,804.281,18.6463,22.2651,0.9613,0.9908,0.9748,0.6786,17.4959
add_1_day_general_doctor,22.0,80.0,10,70.984,50.85,807.195,13.051,50.8409,0.9876,0.9803,0.9747,0.6784,17.7539
add_1_day_general_doctor,20.0,90.0,10,70.998,42.117,813.13,14.7388,41.3645,0.9809,0.9873,0.9745,0.6784,17.2374
add_1_day_general_doctor,16.0,120.0,10,71.048,31.339,811.046,18.5738,19.249,0.9634,0.9908,0.9746,0.6784,17.1507
add_1_day_general_doctor,26.0,90.0,10,71.289,41.848,812.069,11.5734,41.3176,0.9905,0.9853,0.9749,0.6786,16.2346
add_1_day_general_doctor,28.0,80.0,10,71.298,51.171,805.838,11.5281,50.9844,0.9922,0.9822,0.9747,0.6785,16.7395
add_1_day_general_doctor,30.0,80.0,10,71.298,51.171,805.838,11.5281,50.9844,0.9922,0.9822,0.9747,0.6785,16.7395
add_1_day_general_doctor,28.0,70.0,10,71.54,60.475,800.618,11.5699,60.4603,0.9898,0.9755,0.9752,0.6788,17.8174
